,0,1,2,3,4,5,6
0,group1,group2,meandiff,p-adj,lower,upper,reject
1,0,1,-0.0482,0.2497,-0.1214,0.025,False
2,0,2,-0.0787,0.0291,-0.1504,-0.0071,True
3,1,2,-0.0305,0.5303,-0.1002,0.0391,False
