,0,1,2,3,4,5,6
0,group1,group2,meandiff,p-adj,lower,upper,reject
1,0,1,0.0291,0.0001,0.0152,0.0429,True
2,0,2,0.0054,0.5893,-0.0081,0.019,False
3,1,2,-0.0237,0.0004,-0.0368,-0.0105,True
