,0,1,2,3,4,5,6
0,group1,group2,meandiff,p-adj,lower,upper,reject
1,0,1,-534.0889,0.0,-743.9992,-324.1786,True
2,0,2,-372.0707,0.0003,-577.4116,-166.7298,True
3,1,2,162.0182,0.1285,-37.596,361.6324,False
